,mean,std,min,25%,50%,75%,max
_13dpg_c,0.00015747706883832046,0.0001739052909329899,1.2012704224140609e-05,4.1735604613941344e-05,9.937621400958591e-05,0.0001783773000636719,0.0007718495278163866
_2pg_c,0.001161681731832434,0.0013328855135648807,0.00011773930851743011,0.0003551060044960209,0.0006581595979493432,0.0013775530445209387,0.0068137067612481245
_3pg_c,0.011356108527670683,0.0115344163153543,0.0012018652169101124,0.003713139499642981,0.007092342387600883,0.01478618822936115,0.05718705043710342
adp_c,0.004298402894336916,0.0030312479841376593,0.0004559051996520842,0.001706696253021482,0.003638761495701002,0.006154135232697443,0.011646335276603416
amp_c,0.008021006290677176,0.007636080598933761,0.00032186226736382933,0.0017074966686418036,0.006321444477429659,0.011124204083964027,0.026925911109944443
atp_c,0.015257593580399494,0.020185399759049885,0.001854771123147625,0.004154945424496775,0.008319200900694188,0.019265587640960362,0.14601597327580787
dhap_c,0.010516289659477958,0.008849660436895352,0.0010485200263371066,0.004037351933480915,0.00764029544716017,0.015021324120647725,0.0438172809036065
f6p_c,0.0031558233841135464,0.0022567298738904147,0.0002720251275759791,0.0010739852711893066,0.002670606660958603,0.004654287467318747,0.008899763457997624
fdp_c,0.035912882048612406,0.02771083510690591,0.0014436701214090098,0.013729207743111224,0.02902545734637946,0.052441217653346126,0.11314792995269417
g3p_c,8.594017235301002e-05,6.31690944672507e-05,2.1846419634074465e-05,4.114415076096022e-05,6.832143454634557e-05,0.00010481454598144986,0.0003334655033807243
g6p_c,0.0031277158390433835,0.003846592490751414,0.0003638596728144694,0.000688398407368602,0.0015001368606392552,0.0038997969472867175,0.019301783309306864
gdp_c,0.0014477434141228999,0.001843191851761355,0.00012808409812261907,0.0004131443363310706,0.0006862914061105936,0.0016665273718666062,0.008619270953313165
h2o_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
h_c,1.0,0.0,1.0,1.0,1.0,1.0,1.0
lac__D_c,0.009542589331804307,0.008154352361660367,0.0006252547597281882,0.0033861802493107924,0.007394813829859565,0.013996405533266039,0.046754676840411465
nad_c,0.11621196956637482,0.08569682328020999,0.0035763805486845584,0.037065615592763605,0.09753741499661038,0.18907714802628345,0.3283784299393317
nadh_c,3.511395192149999e-05,3.9674429076610756e-05,1.9488598821653053e-06,6.47984318725108e-06,2.063020381972545e-05,4.54176516672863e-05,0.00017691972257925703
pep_c,0.0009434746182735363,0.00134810288976398,0.00018501778340060615,0.00030335767200772944,0.0004827560035120973,0.0007969447205854791,0.008327126140399115
pi_c,0.001605492342956695,0.0017712957288562117,7.649873919546471e-05,0.00041481784169713267,0.0009114712940135922,0.0019260960256513666,0.006781247092350883
pyr_c,0.001200040404160246,0.00177311088926997,0.00015179431528192396,0.00028768679033670287,0.0004743931283594119,0.0014030875560365485,0.010859854308733768
